hwnd=0xf0442 vis=0 class=RDPSoundDVCWnd                           pid= 16704(msrdc.exe           ) rect=[0,0 136x39] title=""
hwnd=0x7044a vis=0 class=RDPSoundDVCWnd                           pid= 16704(msrdc.exe           ) rect=[0,0 136x39] title=""
hwnd=0x10402 vis=0 class=RdpClipMainWindowClass                   pid=  7692(rdpclip.exe         ) rect=[0,0 256x100] title=""
hwnd=0x17049a vis=0 class=RdpClipRdrWindowClass                    pid=  7692(rdpclip.exe         ) rect=[0,0 256x100] title=""
hwnd=0x5005e vis=0 class=RdpClipRdrWindowClass                    pid= 16704(msrdc.exe           ) rect=[0,0 256x100] title=""
hwnd=0x700d2 vis=0 class=RdpLocalSessionMonitorWindowClass        pid= 16704(msrdc.exe           ) rect=[0,0 136x39] title=""
hwnd=0x403bc vis=0 class=RdpSessionInputMainWindowClass           pid=  2448(rdpinput.exe        ) rect=[0,0 256x100] title=""
hwnd=0x2006e vis=0 class=SecHealth Window Class                   pid=  5676(SecurityHealthSystray.exe) rect=[0,0 0x0] title="SecurityHealthSystray"
hwnd=0x501aa vis=0 class=ShellHandwritingCanvas {18E91349-E229-4995-8049-7437243BBCC3} pid=  9552(TabTip.exe          ) rect=[0,0 784x1448] title="Shell Handwriting Canvas"
hwnd=0x10408 vis=0 class=TabletPenServiceHelperClass              pid=  8008(explorer.exe        ) rect=[50,50 300x200] title="EXPLORER"
hwnd=0x40122 vis=1 class=Tao Thread Event Target                  pid=  7404(pulpw.exe           ) rect=[0,0 16x16] title=""
hwnd=0x8044c vis=1 class=ThumbnailDeviceHelperWnd                 pid=  8008(explorer.exe        ) rect=[0,0 1x1] title=""
hwnd=0x2f0328 vis=1 class=ThumbnailDeviceHelperWnd                 pid=  8008(explorer.exe        ) rect=[0,0 1x1] title=""
hwnd=0x1cc0270 vis=1 class=ThumbnailDeviceHelperWnd                 pid=  8008(explorer.exe        ) rect=[0,0 1x1] title=""
hwnd=0x10466 vis=0 class=TopLevelWindowForOverflowXamlIsland      pid=  8008(explorer.exe        ) rect=[368,318 234x114] title="System tray overflow window."
hwnd=0x904b4 vis=0 class=TsWindow_GeneralWindowClass              pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title=""
hwnd=0x3033a vis=0 class=TscShellContainerClass                   pid= 16704(msrdc.exe           ) rect=[99,0 466x259] title="RemoteApp"
hwnd=0x103e0 vis=0 class=URBRedirectorDeviceNotifications         pid=  7692(rdpclip.exe         ) rect=[0,0 136x39] title=""
hwnd=0x102cc vis=0 class=WalkNotifyIconSink                       pid=  7384(tailscale-ipn.exe   ) rect=[0,0 136x39] title=""
hwnd=0x1047c vis=0 class=Windows Terminal f80f125b8897e679        pid=  7836(WindowsTerminal.exe ) rect=[0,0 136x39] title="Windows Terminal"
hwnd=0xf0026e vis=0 class=Windows.UI.Core.CoreWindow               pid=  8008(explorer.exe        ) rect=[0,0 1x1] title="DesktopWindowXamlSource"
hwnd=0x70500 vis=0 class=Windows.UI.Core.CoreWindow               pid=  8008(explorer.exe        ) rect=[0,0 1x1] title="DesktopWindowXamlSource"
hwnd=0x600a6 vis=0 class=Windows.UI.Core.CoreWindow               pid=  9552(TabTip.exe          ) rect=[0,0 1x1] title="DesktopWindowXamlSource"
hwnd=0x201fa vis=1 class=Windows.UI.Core.CoreWindow               pid= 10808(SystemSettings.exe  ) rect=[0,8 640x432] title="Settings"
hwnd=0x200be vis=0 class=Windows.UI.Core.CoreWindow               pid=  8064(ShellHost.exe       ) rect=[0,0 1x1] title="DesktopWindowXamlSource"
hwnd=0x400c2 vis=1 class=Windows.UI.Core.CoreWindow               pid=  3940(TextInputHost.exe   ) rect=[0,0 784x1448] title="Windows Input Experience"
hwnd=0x2019a vis=0 class=Wnd_StartFeed                            pid=  9332(MicrosoftStartFeedProvider.exe) rect=[0,0 640x480] title=""
hwnd=0xf0618 vis=0 class=WorkerW                                  pid=  8064(ShellHost.exe       ) rect=[0,0 136x39] title=""
hwnd=0x5035c vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x40090 vis=0 class=WorkerW                                  pid= 10808(SystemSettings.exe  ) rect=[0,0 136x39] title=""
hwnd=0x40212 vis=0 class=WorkerW                                  pid=  8664(RuntimeBroker.exe   ) rect=[0,0 136x39] title=""
